,train,validation,test
eval_loss,0.16488535702228546,0.16488535702228546,0.1793498992919922
eval_precision,0.9351953267615918,0.9351953267615918,0.9383161989441512
eval_recall,0.9429412847413952,0.9429412847413952,0.9431204617389686
eval_f1,0.9390523325084776,0.9390523325084776,0.9407121964808024
eval_accuracy,0.9729454739545977,0.9729454739545977,0.9720461918609538
eval_runtime,12.0197,11.6282,11.3411
eval_samples_per_second,831.967,859.981,881.751
eval_steps_per_second,51.998,53.749,55.109
epoch,5.0,5.0,5.0
